,frame,path,seconds,gaze_vis_x,gaze_vis_y,gaze_x_recal,gaze_y_recal,target_vis_x,target_vis_y,blinks,correction_index,gaze_vector,target_vector
0,0,99,0.0,-3.276453,-8.121616,-4.043826464446102,-9.480615730735854,-3.48682,-11.80705,False,0,"[-0.1213973, -0.3026192, 2.120577]","[-0.3696277, -1.268087, 6.06626]"
1,1,99,0.01700000000005275,-3.35262,-8.163891,-4.119858497725711,-9.540247346744149,-3.546602,-11.81732,False,0,"[-0.1241962, -0.3041433, 2.120072]","[-0.3759482, -1.26911, 6.065728]"
2,2,99,0.03399999999987813,-3.338818,-8.147596,-4.105181956711633,-9.519250541049352,-3.522419,-11.81041,False,0,"[-0.1237024, -0.3035738, 2.120392]","[-0.3733919, -1.268393, 6.06595]"
3,3,99,0.05099999999993088,-3.512171,-8.114429,-4.264756747410358,-9.502260671209571,-3.48329,-11.79048,False,0,"[-0.1301298, -0.3022957, 2.120213]","[-0.3692776, -1.266342, 6.06667]"
4,4,99,0.06700000000000728,-3.542437,-8.08887,-4.290558961904093,-9.475962137131912,-3.460775,-11.82499,False,0,"[-0.1312736, -0.3013757, 2.120529]","[-0.366842, -1.270007, 6.065962]"
5,5,99,0.08400000000006003,-3.283324,-8.045046,-4.0423159625929,-9.391119520454158,-3.481289,-11.82176,False,0,"[-0.1216531, -0.2997295, 2.120588]","[-0.3690321, -1.269686, 6.066132]"
6,6,99,0.1009999999998854,-3.245065,-8.055331,-4.007406525307955,-9.398368780980158,-3.494168,-11.87218,False,0,"[-0.1202334, -0.30012, 2.120604]","[-0.3703231, -1.274991, 6.064859]"
7,7,99,0.1169999999999618,-3.350895,-8.175527,-4.119447748328496,-9.553760664716684,-3.449831,-11.89322,False,0,"[-0.1241269, -0.3045698, 2.119982]","[-0.3656163, -1.27733, 6.06492]"
8,8,99,0.13400000000001455,-3.350147,-8.175178,-4.118707962459365,-9.55325314175509,-3.466153,-11.91149,False,0,"[-0.1241106, -0.3045847, 2.120177]","[-0.3673116, -1.279214, 6.06428]"
9,9,99,0.1510000000000673,-3.413602,-8.174759,-4.178339940874003,-9.560868928604087,-3.4661,-11.91765,False,0,"[-0.126468, -0.3045716, 2.120197]","[-0.3673129, -1.27992, 6.064394]"
